source,value,fips,date
1,0.99976823351,02013,2014-01-01
1,0.99849351779,02016,2014-01-01
1,0.96545230681,02020,2014-01-01
1,0.99995654379,02050,2014-01-01
1,0.99995654379,02060,2014-01-01
1,0.99898602159,02068,2014-01-01
1,0.99992757298,02070,2014-01-01
1,0.97993771276,02090,2014-01-01
1,0.99972477729,02100,2014-01-01
1,0.99973926270,02105,2014-01-01
1,0.99814586804,02110,2014-01-01
1,0.99737814153,02122,2014-01-01
1,0.99914536105,02130,2014-01-01
1,0.99816035345,02150,2014-01-01
1,1.00000000000,02164,2014-01-01
1,0.99730571450,02170,2014-01-01
1,0.99937712755,02180,2014-01-01
1,0.99905844862,02185,2014-01-01
1,0.99995654379,02188,2014-01-01
1,0.99986963135,02195,2014-01-01
1,0.99981168973,02198,2014-01-01
1,0.99917433187,02220,2014-01-01
1,0.99997102919,02230,2014-01-01
1,0.99976823351,02240,2014-01-01
1,0.99904396321,02261,2014-01-01
1,0.99998551460,02270,2014-01-01
1,0.99971029189,02275,2014-01-01
1,1.00000000000,02282,2014-01-01
1,0.99981168973,02290,2014-01-01
1,0.99879771131,01001,2014-01-01
1,0.98671688275,01003,2014-01-01
1,0.99891359456,01005,2014-01-01
1,0.99908741943,01007,2014-01-01
1,0.99837763454,01009,2014-01-01
1,0.99973926270,01011,2014-01-01
1,0.99929021511,01013,2014-01-01
1,0.99692909394,01015,2014-01-01
1,0.99949301080,01017,2014-01-01
1,0.99975374810,01019,2014-01-01
1,0.99914536105,01021,2014-01-01
1,0.99992757298,01023,2014-01-01
1,0.99942058377,01025,2014-01-01
1,1.00000000000,01027,2014-01-01
1,1.00000000000,01029,2014-01-01
1,0.99406098356,01031,2014-01-01
1,0.99885565293,01033,2014-01-01
1,1.00000000000,01035,2014-01-01
1,0.99927572971,01037,2014-01-01
1,0.99982617513,01039,2014-01-01
1,0.99955095242,01041,2014-01-01
1,0.99816035345,01043,2014-01-01
1,0.99587165931,01045,2014-01-01
1,0.99926124430,01047,2014-01-01
1,0.99833417832,01049,2014-01-01
1,0.99678423988,01051,2014-01-01
1,0.99962337945,01053,2014-01-01
1,0.99669732745,01055,2014-01-01
1,0.99989860216,01057,2014-01-01
1,0.99775476208,01059,2014-01-01
1,0.99989860216,01061,2014-01-01
1,0.99986963135,01063,2014-01-01
1,0.99979720432,01065,2014-01-01
1,0.99937712755,01067,2014-01-01
1,0.99807344101,01069,2014-01-01
1,0.99911639024,01071,2014-01-01
1,0.97082639241,01073,2014-01-01
1,0.99988411676,01075,2014-01-01
1,0.99755196640,01077,2014-01-01
1,0.99936264214,01079,2014-01-01
1,0.98290722098,01081,2014-01-01
1,0.99692909394,01083,2014-01-01
1,1.00000000000,01085,2014-01-01
1,0.99878322590,01087,2014-01-01
1,0.98077786630,01089,2014-01-01
1,0.99876874050,01091,2014-01-01
1,0.99944955458,01093,2014-01-01
1,0.99836314913,01095,2014-01-01
1,0.98607952488,01097,2014-01-01
1,0.99891359456,01099,2014-01-01
1,0.97877888028,01101,2014-01-01
1,0.99847903238,01103,2014-01-01
1,0.99940609836,01105,2014-01-01
1,1.00000000000,01107,2014-01-01
1,0.99775476208,01109,2014-01-01
1,0.99973926270,01111,2014-01-01
1,0.99521981604,01113,2014-01-01
1,0.99789961614,01115,2014-01-01
1,0.99148258130,01117,2014-01-01
1,1.00000000000,01119,2014-01-01
1,0.99726225828,01121,2014-01-01
1,0.99888462375,01123,2014-01-01
1,0.98804954009,01125,2014-01-01
1,0.99924675890,01127,2014-01-01
1,0.99995654379,01129,2014-01-01
1,0.99973926270,01131,2014-01-01
1,0.99995654379,01133,2014-01-01
1,0.99866734266,05001,2014-01-01
1,1.00000000000,05003,2014-01-01
1,0.99931918593,05005,2014-01-01
1,0.96976895778,05007,2014-01-01
1,0.99942058377,05009,2014-01-01
1,0.99975374810,05011,2014-01-01
1,1.00000000000,05013,2014-01-01
1,0.99784167452,05015,2014-01-01
1,0.99992757298,05017,2014-01-01
1,0.99937712755,05019,2014-01-01
1,0.99994205838,05021,2014-01-01
1,0.99943506917,05023,2014-01-01
1,0.99997102919,05025,2014-01-01
1,0.99946403998,05027,2014-01-01
1,0.99978271892,05029,2014-01-01
1,0.99524878685,05031,2014-01-01
1,0.99969580648,05033,2014-01-01
1,0.99898602159,05035,2014-01-01
