fips,measure,source,date
10001,0.390825876786999897151,53,2016-01-01
10003,0.440607816247848477927,53,2016-01-01
10005,0.472387885795289961001,53,2016-01-01
12001,0.470861088136616702197,53,2016-01-01
12003,0.423784970010163532226,53,2016-01-01
12005,0.457627534186844483737,53,2016-01-01
12007,0.407520253819844250702,53,2016-01-01
12009,0.544754539847947869942,53,2016-01-01
12011,0.403788762793749188639,53,2016-01-01
12013,0.368925309745014371266,53,2016-01-01
12015,0.553004150609548375581,53,2016-01-01
12017,0.552204160122153619503,53,2016-01-01
12019,0.508129783807658064010,53,2016-01-01
12021,0.457802340566713457406,53,2016-01-01
12023,0.372600411616312990210,53,2016-01-01
12027,0.234043432152875411717,53,2016-01-01
12029,0.405499928471582991903,53,2016-01-01
12031,0.445368409348978626916,53,2016-01-01
12033,0.460342181649816729117,53,2016-01-01
12035,0.541517434607274666792,53,2016-01-01
12037,0.486539479702172097984,53,2016-01-01
12039,0.443929872976073713864,53,2016-01-01
12041,0.462575927690470612853,53,2016-01-01
12043,0.254220575005114864095,53,2016-01-01
12045,0.420606092701073612731,53,2016-01-01
12047,0.322627116784513870935,53,2016-01-01
12049,0.197069676278443271958,53,2016-01-01
12051,0.211643698505822241525,53,2016-01-01
12053,0.506945488971813635804,53,2016-01-01
12055,0.423084396054377287821,53,2016-01-01
12057,0.410344124623954823951,53,2016-01-01
12059,0.389933702290024868843,53,2016-01-01
12061,0.531411517386799078208,53,2016-01-01
12063,0.386000313572734715872,53,2016-01-01
12065,0.522099706568000355987,53,2016-01-01
12067,0.332240241826116195737,53,2016-01-01
12069,0.514562192763383628781,53,2016-01-01
12071,0.444201766770287867861,53,2016-01-01
12073,0.511437620662065066465,53,2016-01-01
12075,0.455365961324149746549,53,2016-01-01
12077,0.344272584193605053056,53,2016-01-01
12079,0.418333732347896077729,53,2016-01-01
12081,0.477334072766771881474,53,2016-01-01
12083,0.485835473363050417911,53,2016-01-01
12085,0.541320072565487115874,53,2016-01-01
12086,0.307569741432434085674,53,2016-01-01
12087,0.531536554208304234690,53,2016-01-01
12089,0.596788000191723126307,53,2016-01-01
12091,0.488027908218559950926,53,2016-01-01
12093,0.281165274528761349696,53,2016-01-01
12095,0.389734378886331354686,53,2016-01-01
12097,0.407533247842471257160,53,2016-01-01
12099,0.437053951059362211690,53,2016-01-01
12101,0.461949640316872726122,53,2016-01-01
12103,0.499045613555070200207,53,2016-01-01
12105,0.403140164928470970066,53,2016-01-01
12107,0.418065270937017359401,53,2016-01-01
12109,0.622964336188708513058,53,2016-01-01
12111,0.445596662840785098847,53,2016-01-01
12113,0.512851272255788070923,53,2016-01-01
12115,0.562096411479998337745,53,2016-01-01
12117,0.479051735455919187966,53,2016-01-01
12119,0.683963181804641734569,53,2016-01-01
12121,0.381555009397988157541,53,2016-01-01
12123,0.360897823219264202436,53,2016-01-01
12125,0.317047655087644069693,53,2016-01-01
12127,0.482638453456330338456,53,2016-01-01
12129,0.457541969773696837438,53,2016-01-01
12131,0.526761128307760238707,53,2016-01-01
12133,0.411904388020148580519,53,2016-01-01
13001,0.323497593715404180912,53,2016-01-01
13003,0.243565844206326936719,53,2016-01-01
13005,0.294593983988176910430,53,2016-01-01
13007,0.399741737671032290513,53,2016-01-01
13009,0.287869822448939313869,53,2016-01-01
13011,0.322908204462662227614,53,2016-01-01
13013,0.342339294279920912984,53,2016-01-01
13015,0.332183607501081507213,53,2016-01-01
13017,0.274673656960499519650,53,2016-01-01
13019,0.282085766188253722266,53,2016-01-01
13021,0.354237160771732165734,53,2016-01-01
13023,0.331654530126947923512,53,2016-01-01
13025,0.276314336194837769014,53,2016-01-01
13027,0.353047472190646338621,53,2016-01-01
13029,0.401981245212284941263,53,2016-01-01
13031,0.280894361415500177319,53,2016-01-01
13033,0.358519181567807284424,53,2016-01-01
13035,0.353326475921769609359,53,2016-01-01
13037,0.241873801807076275035,53,2016-01-01
13039,0.301381767204239189555,53,2016-01-01
13043,0.277401666201456139596,53,2016-01-01
13045,0.332049744550999516156,53,2016-01-01
13047,0.356254176321777111568,53,2016-01-01
13049,0.236223608496472674489,53,2016-01-01
13051,0.343018170669622439058,53,2016-01-01
13053,0.000000000000000000000,53,2016-01-01
13055,0.260481242208949522757,53,2016-01-01
13057,0.452132165881692856364,53,2016-01-01
13059,0.308375493420427608767,53,2016-01-01
13061,0.365235742829659273435,53,2016-01-01
13063,0.277773221697517050670,53,2016-01-01
13065,0.298254375645180805082,53,2016-01-01
13067,0.413351995691868573551,53,2016-01-01
13069,0.252899475176329499974,53,2016-01-01
13071,0.219644706645841906630,53,2016-01-01
13073,0.423879237966768890397,53,2016-01-01
13075,0.290728630011999857310,53,2016-01-01
13077,0.414679715117086563604,53,2016-01-01
13079,0.364887110750874307715,53,2016-01-01
13081,0.255910043116863949028,53,2016-01-01
13083,0.324421517758231989150,53,2016-01-01
13085,0.485312402659753846629,53,2016-01-01
13087,0.319535765250477560977,53,2016-01-01
13089,0.389602967638631817678,53,2016-01-01
13091,0.265835269871752674225,53,2016-01-01
13093,0.192357994639843081240,53,2016-01-01
13095,0.309182839014969726991,53,2016-01-01
13097,0.368431291714949880461,53,2016-01-01
13099,0.416299432296054830852,53,2016-01-01
13101,0.216584491732062763090,53,2016-01-01
13103,0.371456447284659931104,53,2016-01-01
13105,0.361435726721974620712,53,2016-01-01
